1	6	4	3	1	2	3	3	4	5	3	2	6	3	2	5	5	3	5	6	4	6	5	6	4	5	5	6	5	7	5	5	5	3	3	5	5	4	4	5	2	3	1	5	5	5	1	3	2	4	1	3	5	1	1	1	1	1	3	1	1	3	4	2	1	4	4	4	4	4	4	4	4	4	4	5	4	4	1	4	100	100	85	95	4	5	6	7	7	7	5	5	5	5	5	6	7	7	7	4	5	4	6	1	2	8	4	1	10	8	4	9	335	84	-999
3	6	6	5	4	4	2	3	5	7	3	5	2	2	7	4	5	4	6	2	4	2	3	3	4	5	6	6	4	6	4	4	5	5	4	4	5	6	3	2	2	5	2	3	2	4	2	2	5	2	2	5	2	2	3	5	4	2	6	5	4	2	2	4	2	2	2	2	3	3	2	2	1	1	2	2	3	4	2	1	72	83	75	84	3	2	5	5	4	4	4	3	3	4	4	3	5	5	6	1	2	1	7	1	6	4	6	6	10	4	4	4	154	98	-999
1	6	2	2	2	1	3	2	2	2	2	3	2	2	2	3	3	2	5	5	1	2	1	4	1	1	3	3	1	1	1	1	5	5	5	1	1	1	1	5	1	1	1	5	5	1	1	2	3	2	1	3	2	1	1	2	1	1	1	1	1	2	3	1	2	1	1	2	4	1	1	1	4	2	3	1	5	5	2	3	84	73	81	80	1	3	5	6	5	6	4	1	2	6	6	6	5	5	5	1	1	1	2	1	1	8	2	1	9	5	4	5	367	315	-999
1	2	4	2	4	1	3	2	5	3	2	2	2	1	1	7	2	3	5	4	2	2	4	2	6	2	7	6	1	5	2	5	4	3	3	5	5	5	5	7	1	1	1	4	3	6	2	2	3	2	2	7	2	5	2	7	2	6	4	4	2	2	4	2	2	2	1	3	2	2	3	4	2	1	5	2	5	4	1	1	0	100	50	100	1	1	2	7	6	7	4	2	2	6	6	6	2	2	2	1	1	1	6	3	7	7	7	4	9	5	5	5	405	59	-999
6	6	5	6	6	1	1	3	4	6	2	2	2	3	1	6	3	7	6	6	1	2	4	1	2	3	2	2	3	1	2	3	4	2	3	2	6	7	2	6	2	1	1	1	1	7	1	3	3	1	1	7	2	2	3	6	7	2	6	2	1	1	7	5	1	7	3	6	3	2	4	6	6	2	5	2	4	7	2	7	90	100	90	95	3	5	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	5	3	5	9	9	5	11	10	6	5	349	115	-999
2	7	5	6	3	5	4	7	4	6	7	2	2	4	4	6	5	7	6	6	2	5	4	4	6	2	5	5	6	3	1	4	5	3	5	5	5	5	5	2	1	2	2	1	2	4	1	1	4	1	1	6	2	1	1	6	2	1	7	1	2	3	4	1	2	3	7	4	3	2	6	1	6	1	7	5	4	2	7	5	75	88	100	90	5	4	6	6	6	7	7	7	7	5	5	7	7	7	7	4	4	4	8	1	1	5	6	3	9	10	4	7	259	206	-999
2	4	4	4	4	1	4	2	4	3	3	2	5	2	4	6	4	4	7	2	1	7	4	5	7	4	7	7	6	4	5	5	7	6	7	6	2	7	5	7	1	1	1	5	3	3	1	5	1	3	1	7	5	4	1	7	1	1	5	1	4	4	7	4	1	7	6	4	2	4	4	5	7	4	7	7	4	4	4	1	100	100	74	100	4	7	5	7	7	7	7	4	4	6	6	7	5	7	6	6	7	4	5	1	3	8	8	2	10	8	4	8	376	331	2
1	5	5	6	6	3	2	1	6	6	5	1	2	1	1	6	3	5	7	7	1	6	2	3	5	3	6	3	7	6	2	1	6	6	6	3	6	6	6	7	1	2	1	3	2	3	1	2	3	3	1	6	5	1	1	6	1	1	7	1	1	6	7	1	1	6	6	7	2	1	3	6	6	1	6	6	7	7	6	7	85	85	85	85	1	1	2	7	7	7	2	1	5	6	5	7	2	2	3	2	3	5	7	1	3	8	6	7	10	8	4	6	354	112	3
5	5	6	7	6	5	2	2	2	7	1	6	7	2	6	7	5	7	6	6	2	5	7	2	5	6	5	5	1	6	4	2	5	6	6	5	6	6	5	6	5	3	1	3	3	5	6	6	3	2	3	7	3	2	5	7	6	2	7	5	2	1	6	1	4	5	2	6	2	1	5	6	6	1	6	1	7	6	2	2	90	70	70	86	5	7	6	7	7	7	5	3	5	6	6	6	4	6	7	4	4	4	9	1	5	9	9	6	10	4	5	9	333	93	-999
3	5	6	7	5	1	2	1	7	6	1	3	5	1	1	7	7	5	7	6	5	7	7	7	7	2	7	7	7	5	5	7	7	4	4	7	7	7	1	7	1	1	1	1	3	7	1	1	4	1	1	6	1	1	1	4	4	1	6	7	4	7	7	2	7	7	1	7	4	4	7	1	7	4	7	5	5	1	7	7	100	100	100	100	4	4	7	7	7	7	5	2	7	7	7	7	7	7	5	7	7	7	7	1	9	9	7	2	9	12	4	10	241	91	1
3	5	6	5	5	1	1	2	2	5	2	3	1	3	1	6	4	5	7	5	1	1	1	3	1	1	6	1	1	1	1	1	3	3	4	2	3	4	1	3	6	3	2	1	1	7	2	1	1	1	2	7	1	1	2	7	5	1	5	4	1	2	6	1	2	3	3	4	2	3	2	1	3	5	2	2	3	4	3	5	55	95	100	95	7	5	4	7	7	7	7	6	7	7	7	7	2	7	6	7	6	5	4	2	8	8	3	1	11	7	6	5	410	95	1
1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	6	1	4	5	5	1	1	1	4	5	4	5	1	1	1	2	1	4	6	4	6	2	7	1	1	1	1	1	1	1	7	1	1	2	1	1	6	1	1	1	6	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100	95	95	100	2	4	4	7	7	7	4	2	4	6	6	6	6	7	4	1	1	1	1	1	2	6	2	1	6	4	4	6	405	356	3
1	3	1	4	2	1	4	4	4	4	2	4	4	2	2	4	4	4	7	4	4	4	7	7	7	4	4	4	4	4	4	4	7	4	6	5	7	4	4	4	1	4	4	4	4	6	4	4	1	4	4	4	3	3	1	4	4	4	4	4	4	4	6	4	5	4	4	4	4	4	4	5	4	4	2	4	1	4	4	4	92	100	100	100	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	5	5	4	8	8	8	8	-999	-999	-999
